Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
89        ,mp-20180  ,Mn3GeC    ,     242.0,     242.0,115.0     ,0.29      ,1.61      ,46.52958166666667,    18.324,0.061616812000000465
90        ,mp-20197  ,Cr2GaC    ,     181.0,     179.0,115.0     ,0.24      ,1.66      ,44.576600000000006,    16.114,         0
91        ,mp-20315  ,Ti2InC    ,     127.0,     126.0,95.0      ,0.2       ,1.76      ,58.231899999999996,    14.174,         0
92        ,mp-20325  ,Ti3InC    ,     145.0,     145.0,91.0      ,0.24      ,1.76      ,58.231899999999996,    13.371,         0
93        ,mp-2034   ,W2C       ,     335.0,     334.0,164.0     ,0.29      ,1.93      ,97.92535000000001,    24.237,0.06544750250000142
94        ,mp-20648  ,V2C       ,     244.0,     244.0,115.0     ,0.29      ,1.71      ,   31.4761,    17.702,         0
95        ,mp-20661  ,Ti2PbC    ,     119.0,     117.0,72.0      ,0.25      ,1.76      ,   89.0259,    10.773,         0
96        ,mp-20860  ,Mn3SnC    ,     209.0,     209.0,114.0     ,0.27      ,1.61      ,61.886248333333334,    16.994,0.033873296740740244
97        ,mp-20937  ,Cr3C2     ,     320.0,     319.0,162.0     ,0.28      ,1.66      ,   32.0034,    22.646,         0
98        ,mp-20983  ,V2InC     ,     154.0,     154.0,103.0     ,0.23      ,1.71      ,59.25673333333333,     14.63,0.010754787499999807
99        ,mp-21003  ,Y2ReC2    ,     124.0,     124.0,72.0      ,0.25      ,2.12      ,  95.70785,    11.366,         0
100       ,mp-21017  ,Y3PbC     ,      76.0,      76.0,58.0      ,0.19      ,2.12      ,102.70551666666665,     9.237,         0
101       ,mp-21023  ,Ti3SnC2   ,     159.0,     158.0,111.0     ,0.21      ,1.76      ,59.52923333333333,    16.739,         0
102       ,mp-21035  ,Sc3PbC    ,      97.0,      97.0,76.0      ,0.19      ,1.84      ,88.05553733333333,    11.706,         0
103       ,mp-21075  ,HfC       ,     236.0,     236.0,179.0     ,0.2       ,2.08      ,  95.25035,    24.204,         0
104       ,mp-21313  ,Mn3GaC    ,     208.0,     208.0,110.0     ,0.27      ,1.61      ,45.55724833333333,    16.883,         0
105       ,mp-21422  ,YCoC      ,     146.0,     139.0,51.0      ,0.32      ,2.12      ,53.283248333333326,    11.439,         0
106       ,mp-21850  ,Fe3SnC    ,     140.0,     140.0,53.0      ,0.32      ,1.56      ,62.18856666666667,    10.948,0.06494445400000082
107       ,mp-21862  ,VRu3C     ,     476.0,     476.0,154.0     ,0.35      ,1.78      ,54.67406666666667,    29.142,0.3023753522222208
108       ,mp-22087  ,TaRu3C    ,     262.0,     262.0,128.0     ,0.29      ,2.0       ,98.00952666666666,    19.759,0.15342230599999773
109       ,mp-22144  ,Ta2InC    ,     177.0,     177.0,101.0     ,0.26      ,2.0       ,102.59219333333333,    15.219,0.07140739625000059
110       ,mp-22156  ,Hf2InC    ,     130.0,     129.0,91.0      ,0.21      ,2.08      ,101.77289999999999,    14.094,         0
111       ,mp-22351  ,NbRu3C    ,     227.0,     227.0,130.0     ,0.26      ,1.98      ,68.66235999999999,    18.541,0.17009418733333348
112       ,mp-22394  ,ThRu3C    ,     223.0,     223.0,105.0     ,0.3       ,1.8       ,115.03958666666666,     16.92,         0
113       ,mp-22749  ,Mn5C2     ,     222.0,     218.0,94.0      ,0.28      ,1.61      ,33.4743725,    18.424,0.0005692359788316281
114       ,mp-22793  ,AlFe3C    ,     230.0,     230.0,89.0      ,0.31      ,1.56      ,31.612412866666663,    17.152,         0
115       ,mp-2305   ,MoC       ,     352.0,     348.0,237.0     ,0.22      ,1.9       ,  53.97535,    30.285,0.0010545524999994171
116       ,mp-2318   ,Nb2C      ,     219.0,     219.0,68.0      ,0.33      ,1.98      ,  52.45854,    16.814,0.01819521500000043
117       ,mp-2367   ,LaC2      ,      96.0,      89.0,21.0      ,0.33      ,1.95      ,75.45808500000001,     9.432,         0
118       ,mp-2746   ,MoC       ,     335.0,     335.0,133.0     ,0.31      ,1.9       ,  53.97535,    23.476,0.2979230874999992
119       ,mp-2760   ,Nb6C5     ,     239.0,     239.0,159.0     ,0.22      ,1.98      ,  52.45854,    22.263,         0
120       ,mp-27769  ,V3AsC     ,     195.0,     187.0,69.0      ,0.32      ,1.71      ,45.95793333333334,    15.084,         0
121       ,mp-27919  ,Ti8C5     ,     171.0,     169.0,113.0     ,0.22      ,1.76      ,  29.93885,     16.38,         0
122       ,mp-2794   ,Fe5C2     ,     234.0,     233.0,78.0      ,0.33      ,1.56      ,  33.92785,     17.21,0.05813853714285777
123       ,mp-2795   ,ZrC       ,     221.0,     221.0,159.0     ,0.21      ,2.06      ,  51.61735,     21.35,         0
124       ,mp-28731  ,V6C5      ,     238.0,     238.0,173.0     ,0.21      ,1.71      ,   31.4761,    22.218,         0
125       ,mp-29056  ,La3InC    ,      28.0,      28.0,40.0      ,0.02      ,1.95      ,88.57805666666667,    54.393,         0
126       ,mp-2930   ,Mn3ZnC    ,     192.0,     192.0,70.0      ,0.34      ,1.61      ,44.11924833333334,     13.44,0.025726689424500293
127       ,mp-3103   ,Nb4AlC3   ,     216.0,     215.0,145.0     ,0.22      ,1.98      ,43.96620620000001,    20.145,0.006751132656255265
128       ,mp-313    ,YC2       ,     118.0,     107.0,17.0      ,0.34      ,2.12      , 50.458275,    13.376,0.06849143041666572
129       ,mp-3155   ,Sc3FeC4   ,     179.0,     177.0,119.0     ,0.22      ,1.84      ,37.603870666666666,    17.221,         0
130       ,mp-32679  ,Nb10C7    ,     228.0,     226.0,130.0     ,0.26      ,1.98      ,  52.45854,    18.315,0.03979667058823644
131       ,mp-3271   ,Ti3AlC    ,     153.0,     153.0,98.0      ,0.23      ,1.76      ,28.953079533333334,    14.057,         0
132       ,mp-3732   ,Ti2CS     ,     180.0,     180.0,133.0     ,0.2       ,1.76      ,30.647566666666666,    18.601,         0
133       ,mp-3747   ,Ti3AlC2   ,     159.0,     158.0,125.0     ,0.19      ,1.76      ,28.953079533333334,    17.402,         0
134       ,mp-3802   ,Ta4AlC3   ,     235.0,     232.0,145.0     ,0.24      ,2.0       ,73.31337286666667,    20.636,         0
135       ,mp-3803   ,Ta4AlC3   ,     238.0,     237.0,146.0     ,0.25      ,2.0       ,73.31337286666667,    19.792,0.07701020375000134
136       ,mp-3871   ,Ti2SnC    ,     135.0,     135.0,92.0      ,0.22      ,1.76      ,59.52923333333333,     13.67,         0
137       ,mp-3886   ,Zr2AlC    ,     124.0,     124.0,90.0      ,0.21      ,2.06      ,43.405412866666666,    12.671,0.01354683180555405
138       ,mp-4037   ,TmNiC2    ,     174.0,     153.0,98.0      ,0.24      ,2.22      ,79.87943666666666,    16.683,         0
139       ,mp-4079   ,Sc3AlC    ,     102.0,     102.0,83.0      ,0.18      ,1.84      ,27.982716866666667,     12.32,         0
140       ,mp-4230   ,Sc3TlC    ,      97.0,      97.0,82.0      ,0.17      ,1.84      ,87.11663733333332,    13.292,         0
141       ,mp-4248   ,YCoC2     ,     175.0,     159.0,92.0      ,0.26      ,2.12      ,53.283248333333326,    15.132,         0
142       ,mp-4253   ,V(CrC)2   ,     291.0,     291.0,101.0     ,0.32      ,1.71      ,   38.3161,    21.015,0.08291625418055482
143       ,mp-4448   ,Y3AlC     ,      80.0,      80.0,63.0      ,0.19      ,2.12      ,42.632696200000005,      9.18,         0
144       ,mp-4563   ,Ti3TlC    ,     146.0,     146.0,82.0      ,0.26      ,1.76      ,88.08699999999999,    12.858,0.0184244929999986
145       ,mp-4593   ,Mn3AlC    ,     215.0,     215.0,125.0     ,0.25      ,1.61      ,31.310094533333338,    17.991,         0
146       ,mp-4613   ,Zr2SnC    ,     128.0,     127.0,79.0      ,0.24      ,2.06      ,73.98156666666667,     11.98,         0
147       ,mp-4798   ,Sc(AlC)3  ,     168.0,     165.0,138.0     ,0.17      ,1.84      ,27.982716866666667,    20.658,         0
148       ,mp-4893   ,Hf2SnC    ,     138.0,     137.0,85.0      ,0.24      ,2.08      ,103.07023333333332,    13.064,         0
149       ,mp-4992   ,ScCrC2    ,     209.0,     209.0,131.0     ,0.24      ,1.84      , 36.320904,    17.795,         0
150       ,mp-5025   ,Zr2CS     ,     165.0,     165.0,111.0     ,0.22      ,2.06      ,   45.0999,    15.957,         0
151       ,mp-5075   ,Sc3CoC4   ,     180.0,     179.0,119.0     ,0.23      ,1.84      , 38.633269,    16.316,         0
152       ,mp-510623 ,Fe3C      ,     224.0,     223.0,65.0      ,0.34      ,1.56      ,  33.92785,    16.965,0.05511399687500074
153       ,mp-5383   ,NdNiC2    ,     180.0,     165.0,84.0      ,0.29      ,2.06      ,   71.6487,    14.333,         0
154       ,mp-5443   ,Nb2SnC    ,     160.0,     160.0,77.0      ,0.29      ,1.98      ,74.54235999999999,    12.661,         0
155       ,mp-5659   ,Ti3SiC2   ,     184.0,     184.0,138.0     ,0.2       ,1.76      ,29.321066666666667,    18.741,         0
156       ,mp-567397 ,W2C       ,     336.0,     336.0,163.0     ,0.29      ,1.93      ,97.92535000000001,    24.386,0.08328206000000016
157       ,mp-567462 ,Sc3RhC4   ,     180.0,     176.0,117.0     ,0.23      ,1.84      ,53.290704000000005,    16.849,0.00397737687499955
158       ,mp-567925 ,MoC       ,     322.0,     314.0,106.0     ,0.34      ,1.9       ,  53.97535,    21.895,0.21422003249999833
159       ,mp-568991 ,Hf2Al4C5  ,     192.0,     191.0,133.0     ,0.22      ,2.08      ,72.49407953333333,    18.502,0.025685525454544944
160       ,mp-569458 ,AlV4C3    ,     219.0,     219.0,166.0     ,0.2       ,1.71      ,29.977912866666667,    21.675,0.011673477361107132
161       ,mp-569568 ,Ta3AlC2   ,     225.0,     224.0,159.0     ,0.21      ,2.0       ,73.31337286666667,    22.348,         0
162       ,mp-569989 ,Nb2C      ,     228.0,     228.0,114.0     ,0.28      ,1.98      ,  52.45854,    17.542,         0
163       ,mp-570074 ,Sc3IrC4   ,     194.0,     186.0,121.0     ,0.24      ,1.84      ,83.06120399999999,    17.671,0.0009257506250008873
164       ,mp-570102 ,HoSiRu2C  ,     178.0,     175.0,75.0      ,0.31      ,1.78      ,  76.52413,    13.685,         0
165       ,mp-570112 ,Cr3C2     ,     309.0,     309.0,143.0     ,0.29      ,1.66      ,   32.0034,    21.859,0.030407008499999222
166       ,mp-570784 ,Hf2Al3C4  ,     198.0,     196.0,156.0     ,0.19      ,2.08      ,72.49407953333333,      21.8,         0
167       ,mp-571419 ,Zr2Al4C5  ,     183.0,     183.0,126.0     ,0.22      ,2.06      ,43.405412866666666,    17.208,0.03892938454545458
168       ,mp-579    ,CrC       ,     208.0,     208.0,99.0      ,0.28      ,1.66      ,   32.0034,    16.301,0.2781955370833309
169       ,mp-613523 ,Fe3C      ,     180.0,     180.0,64.0      ,0.33      ,1.56      ,  33.92785,    13.202,0.3064576106250012
170       ,mp-615314 ,ScCoC2    ,     201.0,     200.0,96.0      ,0.28      ,1.84      , 38.633269,    15.809,         0
171       ,mp-631    ,TiC       ,     253.0,     253.0,175.0     ,0.22      ,1.76      ,  29.93885,    22.186,         0
172       ,mp-644278 ,Y2H2C     ,      95.0,      95.0,66.0      ,0.22      ,2.12      ,33.974830000000004,     8.991,0.014619772999998837
173       ,mp-6624   ,Tb2Fe2Si2C,     128.0,     125.0,76.0      ,0.24      ,2.25      ,63.716637500000004,    12.044,         0
174       ,mp-7088   ,Ta2C      ,     256.0,     256.0,131.0     ,0.27      ,2.0       ,96.47928999999999,    20.856,         0
