Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
218       ,mp-9029   ,Ca3VN3    ,      87.0,      87.0,50.0      ,0.26      ,1.94      ,35.00873333333333,      6.86,         0
219       ,mp-925    ,VN        ,     319.0,     319.0,155.0     ,0.28      ,1.71      ,   32.4741,    22.898,0.1901050299999998
220       ,mp-9306   ,Sr2ZnN2   ,      67.0,      65.0,33.0      ,0.27      ,2.19      ,55.67856666666666,     5.242,         0
221       ,mp-9307   ,Ba2ZnN2   ,      54.0,      51.0,22.0      ,0.3       ,2.53      ,72.24756666666666,      3.44,         0
222       ,mp-9325   ,Sr3MnN3   ,      55.0,      50.0,31.0      ,0.25      ,2.19      ,52.18824833333333,     4.245,         0
223       ,mp-9382   ,SrZrN2    ,     150.0,     150.0,108.0     ,0.21      ,2.19      ,64.28356666666666,    15.467,0.013333048749998966
224       ,mp-9383   ,SrHfN2    ,     156.0,     156.0,115.0     ,0.2       ,2.19      ,93.37223333333334,    17.253,0.032027861250000456
225       ,mp-9460   ,Zn3N2     ,     130.0,     130.0,57.0      ,0.31      ,1.42      ,  39.70785,     9.772,         0
226       ,mp-9517   ,SrTiN2    ,     123.0,     120.0,38.0      ,0.32      ,2.19      ,49.83123333333333,    10.196,         0
227       ,mp-9587   ,TaMoN     ,     291.0,     289.0,160.0     ,0.26      ,2.0       ,  96.96486,    23.607,0.018784728888892488
228       ,mp-971911 ,ZnN       ,     129.0,     123.0,25.0      ,0.41      ,1.42      ,  39.70785,     9.602,0.4746405412700003
229       ,mp-972036 ,WN        ,     301.0,     280.0,66.0      ,0.39      ,1.93      ,  98.92335,    21.476,0.29030433750000206
230       ,mp-973933 ,NiN       ,     230.0,     226.0,10.0      ,0.46      ,1.49      ,36.350049999999996,    27.213,0.304866753373334
231       ,mp-974435 ,Re3N      ,     364.0,     358.0,196.0     ,0.27      ,1.88      , 100.10685,    27.324,         0
232       ,mp-982734 ,WN2       ,     258.0,     248.0,33.0      ,0.34      ,1.93      ,  98.92335,    28.284,0.2218903421033307
233       ,mp-989513 ,SrWN3     ,     108.0,      96.0,44.0      ,0.3       ,2.19      ,95.15556666666669,      8.92,0.003406784999999246
234       ,mp-989524 ,LaWN3     ,     174.0,     167.0,41.0      ,0.35      ,1.95      ,112.25072333333334,    15.024,         0
235       ,mp-989554 ,LaMnN3    ,     131.0,     130.0,43.0      ,0.33      ,1.95      , 69.283405,    10.359,0.013571641999995165
236       ,mp-989564 ,LaOsN3    ,     221.0,     221.0,100.0     ,0.3       ,1.95      ,114.38072333333334,    17.014,0.053189756000001864
237       ,mp-989576 ,YWN3      ,     182.0,     158.0,29.0      ,0.37      ,2.12      ,95.58418333333334,    17.243,0.04592585750000033
238       ,mp-989609 ,YWN3      ,     150.0,     139.0,68.0      ,0.29      ,2.12      ,95.58418333333334,     12.41,0.022426255499999215
239       ,mp-989613 ,TiPN3     ,     176.0,     160.0,62.0      ,0.31      ,1.76      ,30.949153999999997,    13.965,0.02820930284133283
240       ,mp-989635 ,CaMoN3    ,     109.0,     102.0,43.0      ,0.31      ,1.94      ,50.00823333333333,     8.407,         0
241       ,mp-991    ,WN        ,     376.0,     374.0,139.0     ,0.32      ,1.93      ,  98.92335,    26.438,0.2882666775000011
242       ,mp-9964   ,Ti3TlN    ,     150.0,     150.0,46.0      ,0.36      ,1.76      ,88.75233333333334,    10.944,0.036463895999999885
243       ,mp-996940 ,TiReN3    ,     264.0,     264.0,116.0     ,0.31      ,1.88      ,82.69356666666665,    18.995,0.07637415952399884
244       ,mp-9981   ,Mn2N      ,     198.0,     198.0,98.0      ,0.29      ,1.61      ,34.4723725,     14.74,         0
245       ,mp-998903 ,TiN       ,     258.0,     258.0,30.0      ,0.37      ,1.76      ,  30.93685,    24.983,0.8892165299999988
246       ,mp-998908 ,TiN       ,     222.0,     222.0,83.0      ,0.33      ,1.76      ,  30.93685,     14.99,0.30082030500000023
247       ,mp-999264 ,ReN       ,     310.0,     279.0,130.0     ,0.3       ,1.88      , 100.10685,    23.438,0.39350648749999984
248       ,mp-999266 ,ReN       ,     330.0,     329.0,215.0     ,0.23      ,1.88      , 100.10685,    28.504,0.3744867625000001
249       ,mp-999294 ,Pd3N      ,     120.0,     120.0,37.0      ,0.35      ,1.69      ,  60.21335,      8.93,0.3622111319050001
250       ,mp-999307 ,OsN       ,     332.0,     301.0,164.0     ,0.27      ,1.85      ,102.11834999999999,    26.448,0.4381152788100007
251       ,mp-999317 ,OsN       ,     323.0,     319.0,190.0     ,0.25      ,1.85      ,102.11834999999999,    26.409,0.22799167381000096
