Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
378,mp-313,YC2,118.0,107.0,17.0,0.34,2.12,50.458275,13.376199938258667,0.06849143041666572
379,mp-3155,Sc3FeC4,179.0,177.0,119.0,0.22,1.84,37.603870666666666,17.221357668376704,0
380,mp-3186,TbB2Ru3,209.0,209.0,104.0,0.29,2.25,90.26878333333333,15.922617480176973,0
381,mp-3190,Er(FeB)2,117.0,117.0,78.0,0.22,2.26,77.97166666666666,12.014482194040868,0
382,mp-3216,Li2ZrN2,137.0,128.0,110.0,0.17,2.06,37.390566666666665,17.824745790673475,0
383,mp-3223,ThB2Ru3,217.0,217.0,88.0,0.32,1.8 ang,114.63968666666666,16.183338609375582,0
384,mp-32679,Nb10C7,228.0,226.0,130.0,0.26,1.98,52.45854,18.31577385809944,0.03979667058823644
385,mp-3271,Ti3AlC,153.0,153.0,98.0,0.23,1.76,28.953079533333334,14.057078709494176,0
386,mp-32994,Hf4N3,225.0,225.0,97.0,0.3,2.08,96.24835,17.47137458614393,0.04143567571428619
387,mp-34293,CsTaN2,46.0,46.0,31.0,0.22,2.98,109.28667730000001,3.8785996761827413,0
388,mp-345,HfB,175.0,175.0,69.0,0.3,2.08,94.65050000000001,14.55960209572187,0.3499089324999982
389,mp-3467,SmB2Ru3,214.0,214.0,99.0,0.3,2.38,87.41366666666666,15.940923882075639,0.012558878333335244
390,mp-3503,Li6WN4,85.0,84.0,68.0,0.18,1.93,68.26256666666667,10.928810245244053,0
391,mp-3515,Y(CoB)2,151.0,140.0,103.0,0.21,2.12,52.88334833333334,15.888687778850366,0
392,mp-35869,TiNbN2,292.0,292.0,141.0,0.28,1.98,51.59336,21.867057964895075,0.09371246874999883
393,mp-36800,MgTaN2,246.0,241.0,172.0,0.21,2.0,73.08652666666667,24.15736255683703,0.03773457375000078
394,mp-3732,Ti2CS,180.0,180.0,133.0,0.2,1.76,30.647566666666666,18.601410196998785,0
395,mp-374,CrB2,255.0,250.0,181.0,0.21,1.66,31.40355,23.886202235650288,0.08890913611111095
396,mp-3747,Ti3AlC2,159.0,158.0,125.0,0.19,1.76,28.953079533333334,17.40215821695152,0
397,mp-3802,Ta4AlC3,235.0,232.0,145.0,0.24,2.0,73.31337286666667,20.63677927827718,0
398,mp-3803,Ta4AlC3,238.0,237.0,146.0,0.25,2.0,73.31337286666667,19.79235334277812,0.07701020375000134
399,mp-3805,Al(FeB)2,206.0,199.0,127.0,0.24,1.56,31.212512866666668,18.02408075504391,0
400,mp-3838,Li5ReN4,72.0,71.0,45.0,0.24,1.88,69.05156666666666,6.399228843303554,0
401,mp-3871,Ti2SnC,135.0,135.0,92.0,0.22,1.76,59.52923333333333,13.670209112122288,0
402,mp-38818,HfNbB4,271.0,268.0,215.0,0.18,2.08,94.06912666666666,30.23482121188563,0
403,mp-3886,Zr2AlC,124.0,124.0,90.0,0.21,2.06,43.405412866666666,12.671330407840811,0.01354683180555405
404,mp-39105,MgTa2N3,276.0,276.0,201.0,0.21,2.0,73.08652666666667,26.011459624909904,0
405,mp-3923,Th2MnN3,194.0,192.0,98.0,0.28,1.8 ang,100.32760166666668,15.857222868504484,0.0005342353472173045
406,mp-4037,TmNiC2,174.0,153.0,98.0,0.24,2.22,79.87943666666666,16.68341133603706,0
407,mp-4071,Er2(NiB2)3,176.0,176.0,137.0,0.19,2.26,78.92113333333333,19.838038256288897,0
408,mp-4079,Sc3AlC,102.0,102.0,83.0,0.18,1.84,27.982716866666667,12.32086654334138,0
409,mp-4091,Ni2Mo3N,273.0,273.0,139.0,0.28,1.9,56.213366666666666,20.451498998494763,0
410,mp-4230,Sc3TlC,97.0,97.0,82.0,0.17,1.84,87.11663733333332,13.292477386287247,0
