Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
19        ,mp-10144  ,B2W       ,     298.0,     292.0,130.0     ,0.29      ,1.93      ,   97.3255,    23.166,0.25751716333333263
20        ,mp-1017578,HfBRh3    ,     239.0,     239.0,105.0     ,0.3       ,2.08      ,97.40216666666667,    18.257,         0
21        ,mp-1018643,YBPd3     ,     192.0,     192.0,7.0       ,0.46      ,2.12      ,68.71228333333333,    25.359,0.09071025336363725
22        ,mp-1025170,Ti3B4     ,     226.0,     224.0,211.0     ,0.14      ,1.76      ,    29.339,    32.051,         0
23        ,mp-10255  ,Nb3B4     ,     274.0,     274.0,196.0     ,0.21      ,1.98      ,51.858689999999996,    25.559,         0
24        ,mp-1032   ,Ta2B      ,     244.0,     244.0,177.0     ,0.21      ,2.0       ,  95.87944,    23.871,0.03293755416664901
25        ,mp-10398  ,HoNi4B    ,     153.0,     153.0,76.0      ,0.29      ,1.75      ,78.14490666666667,    12.089,         0
26        ,mp-10463  ,YCo4B     ,     166.0,     163.0,58.0      ,0.34      ,2.12      ,52.88334833333334,    11.719,0.030848334583335024
27        ,mp-1077   ,B2Ru      ,     288.0,     283.0,159.0     ,0.25      ,1.78      ,   55.9405,     24.14,         0
28        ,mp-1084   ,ZrB12     ,     233.0,     233.0,194.0     ,0.17      ,2.06      ,   51.0175,    27.496,0.015870875128205064
29        ,mp-1097   ,TaB       ,     267.0,     266.0,210.0     ,0.18      ,2.0       ,  95.87944,    30.056,         0
30        ,mp-1108   ,TaB2      ,     303.0,     301.0,197.0     ,0.23      ,2.0       ,  95.87944,    26.529,         0
31        ,mp-1113   ,BW2       ,     330.0,     330.0,152.0     ,0.3       ,1.93      ,   97.3255,     23.52,         0
32        ,mp-1145   ,TiB2      ,     256.0,     251.0,250.0     ,0.13      ,1.76      ,    29.339,    37.886,         0
33        ,mp-11596  ,PrBPt3    ,     156.0,     155.0,57.0      ,0.33      ,2.47      ,115.60088333333333,    11.779,         0
34        ,mp-11597  ,NdBPt3    ,     160.0,     159.0,57.0      ,0.33      ,2.06      ,116.71233333333333,    12.354,         0
35        ,mp-11750  ,Ti6Si2B   ,     149.0,     148.0,102.0     ,0.22      ,1.76      ,28.921166666666664,    14.201,         0
36        ,mp-12061  ,Lu(FeB)2  ,     150.0,     147.0,33.0      ,0.29      ,2.17      ,80.54100000000001,    17.328,         0
37        ,mp-12075  ,Tb(FeB)2  ,     123.0,     123.0,72.0      ,0.25      ,2.25      ,75.19378333333334,    11.051,         0
38        ,mp-12077  ,Y(FeB)2   ,     120.0,     120.0,73.0      ,0.24      ,2.12      ,51.853950000000005,    11.049,         0
39        ,mp-12954  ,CuBS2     ,     114.0,     114.0,60.0      ,0.27      ,1.45      ,    35.474,     9.585,         0
40        ,mp-12965  ,ErNi4B    ,     160.0,     160.0,78.0      ,0.29      ,2.26      ,78.92113333333333,    12.487,         0
41        ,mp-14019  ,NiB       ,     262.0,     257.0,109.0     ,0.31      ,1.49      ,   34.7522,    18.874,0.0031307567708331874
42        ,mp-14344  ,Yb2(NiB2)3,     158.0,     158.0,117.0     ,0.2       ,2.22      ,80.84813333333334,    17.295,0.052388625934748134
43        ,mp-1472   ,ZrB2      ,     238.0,     237.0,223.0     ,0.14      ,2.06      ,   51.0175,    33.874,         0
44        ,mp-1491   ,VB2       ,     289.0,     282.0,239.0     ,0.17      ,1.71      ,  30.87625,    32.172,         0
45        ,mp-1542   ,YB2       ,     164.0,     164.0,151.0     ,0.15      ,2.12      , 49.858425,    23.283,         0
